id accelx accely accelz gyrox gyroy gyroz magnx magny magnz accel2x accel2y accel2z flightstatus errors ts rssi snr frequencyError
13949 1 0 0 -46 428 -2477 -107 504 332 -31 -19 -194 LAUNCHPAD GPS 1939827 -90 6 -8145
13950 0 0 -6 -65 148 -2582 -88 495 320 -4 -7 -162 LAUNCHPAD GPS 1939928 -92 5 -8162
13951 1 0 -5 273 256 -2507 -67 489 338 24 -6 -131 LAUNCHPAD GPS 1940027 -95 3 -8145
13952 -4 2 6 761 630 -3116 -53 485 332 -128 -175 -102 LAUNCHPAD GPS 1940128 -88 7 -8145
13953 3 3 8 580 1101 -2597 -33 485 316 -278 52 -96 LAUNCHPAD GPS 1940227 -90 7 -8162
13954 -3 4 -1 54 723 -4134 -19 471 315 -24 -168 -229 LAUNCHPAD GPS 1940327 -92 4 -8162
13955 -6 -3 1 259 -22 -5525 12 435 311 -848 165 -253 LAUNCHPAD GPS 1940427 -90 6 -8162
13956 -3 -2 -3 3475 -73 815 23 422 309 -1071 -183 -887 LAUNCHPAD GPS 1940527 -89 7 -8162
13957 4 -33 -55 13264 -2395 12684 -5 459 259 -2607 844 -519 LIFTOFF GPS 1940627 -92 4 -8178
13958 7 27 -18 -370 2328 29553 -114 518 215 -1510 485 -612 LIFTOFF GPS 1940727 -91 5 -8162
13959 -16 -8 -2 1427 13859 30726 -381 446 264 -1475 627 -385 LAUNCHPAD GPS 1940828 -93 5 -8178
13960 1 -2 -9 7419 7319 23617 -481 253 342 -248 -562 -434 LAUNCHPAD GPS 1940927 -93 4 -8162
13961 7 -22 -3 -1112 413 10144 -470 125 363 -957 -420 -270 LAUNCHPAD GPS 1941028 -93 4 -8229
13962 -3 -9 -6 -9430 -1489 93 -466 84 342 -39 17 -475 LAUNCHPAD GPS 1941127 -91 5 -8178
13963 -5 10 -2 -8747 -2720 1578 -468 84 294 5 -88 -679 LAUNCHPAD GPS 1941228 -90 6 -8162
13964 18 -21 -9 1226 -1724 4368 -458 79 256 672 -305 -890 LIFTOFF GPS 1941327 -93 4 -8195
13965 1 -62 -5 8041 1385 -4454 -468 87 256 24 -640 -409 LIFTOFF GPS 1941427 -92 5 -8178
13966 16 14 -2 5016 1898 -2245 -486 110 311 1606 1228 -477 LAUNCHPAD GPS 1941527 -92 4 -8195
13967 -5 -33 -7 -1008 1493 -750 -481 137 324 -1803 534 -409 LIFTOFF GPS 1941628 -96 3 -8178
13968 20 11 -8 -5258 -1552 2011 -481 129 314 -986 113 -455 LAUNCHPAD GPS 1941727 -97 1 -8195
